LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.1475935,40.8008468,3612,WEST AVENUE,,BURLINGTON,,,,195,ca67f1a47ed84d88
-91.1669211,41.0096723,311,NORTH STREET,,MEDIAPOLIS,,,,196,02967f34d00c65b7
-91.1678061,41.0097436,301,NORTH STREET,,MEDIAPOLIS,,,,197,e243f96dcb523088
-91.1481802,40.8012492,3708,WEST AVENUE,,BURLINGTON,,,,198,67297bcf16c1e3a5
-91.1629946,41.0076791,652,MAIN STREET,,MEDIAPOLIS,,,,199,ba3ed3095b7cf0c2
-91.1544143,40.8084469,460,BROUWER DRIVE,,WEST BURLINGTON,,,,200,27da65cb0cf8885c
-91.1537089,40.8084672,450,BROUWER DRIVE,,WEST BURLINGTON,,,,201,7db47e51ce392586
-91.1531664,40.8084538,440,BROUWER DRIVE,,WEST BURLINGTON,,,,202,8868305b92699c06
-91.1525807,40.8084534,430,BROUWER DRIVE,,WEST BURLINGTON,,,,203,a2c4fd29670a794f
-91.1545342,40.807907,465,BROUWER DRIVE,,WEST BURLINGTON,,,,204,9ac5ded7bc403a3b
-91.1536068,40.807735,445,BROUWER DRIVE,,WEST BURLINGTON,,,,205,bb9801deac1a29e1
-91.1629767,41.0081237,655,MAIN STREET,,MEDIAPOLIS,,,,206,a3339dd4731432e4
-91.1644178,41.0081599,521,MAIN STREET,,MEDIAPOLIS,,,,207,041791437fdf3395
-91.1645874,41.0081065,517,MAIN STREET,,MEDIAPOLIS,,,,208,4a96a7b7390a3f9c
-91.1626498,41.0081095,103,N HARRISON STREET,,MEDIAPOLIS,,,,209,2fbf3b68444f89cb
-91.1673671,41.0096846,304,WASHINGTON STREET,,MEDIAPOLIS,,,,210,c1545f6d18a3d335
-91.1334518,40.822581,2501,MT PLEASANT STREET,,BURLINGTON,,,,211,02549c19a08326e5
-91.1473407,40.8299262,2001,RACINE AVENUE,,BURLINGTON,,,,212,943ee8df1091bcc7
-91.0981668,40.7779784,2838,S MAIN STREET,,BURLINGTON,,,,213,e23a19db2395236f
-91.1037244,40.7883299,600,HEDGE AVENUE,,BURLINGTON,,,,214,2f1574faccf47321
-91.1041027,40.7883329,608,HEDGE AVENUE,,BURLINGTON,,,,215,3d56a3dec2e52183
-91.1042923,40.7883344,620,HEDGE AVENUE,,BURLINGTON,,,,216,b0ae6c83bf8d94c1
-91.1166172,40.7875337,2027,SUMMER STREET,,BURLINGTON,,,,217,348d402d5c8a0563
-91.1261426,40.8201593,904,CURRAN STREET,,BURLINGTON,,,,218,aa0dc45fbdac64ed
-91.1327134,40.809911,113,ARGYLE COURT,,BURLINGTON,,,,219,85d19f6cd873551b
-91.1139645,40.8328084,2214,GNAHN STREET,,BURLINGTON,,,,220,be68a4428f9d03e7
-91.1008697,40.8093836,115,JEFFERSON STREET,,BURLINGTON,,,,221,c06902f0ee717ed0
-91.1637066,40.7980382,1013,MONTICELLO DRIVE,,BURLINGTON,,,,222,f8dd62765173d9d4
-91.1637278,40.7989166,1001,MONTICELLO DRIVE,,BURLINGTON,,,,223,2c262649f02074c6
-91.164562,40.7977122,1018,CANTERBURY DRIVE,,BURLINGTON,,,,224,ae900340e4e97dce
-91.1014825,40.8091829,210,N MAIN STREET,,BURLINGTON,,,,225,9f87cbf6a09efba8
-91.1015565,40.8090057,200,N MAIN STREET,,BURLINGTON,,,,226,927a06c803149e11
-91.1279683,40.8005254,2312,WEST AVENUE,,BURLINGTON,,,,227,00ff2b802dfe6085
-91.1090046,40.7913209,1615,S 10TH STREET,,BURLINGTON,,,,228,13a0f058fb81511c
-91.1091299,40.8049932,316,S 8TH STREET,,BURLINGTON,,,,229,93d9894bbb805f09
-91.1320683,40.8152898,513,VIRDELL COURT,,BURLINGTON,,,,230,6fa2bc1f5fb4b308
-91.1266682,40.8199225,901,CURRAN STREET,,BURLINGTON,,,,231,80cc8140d664bd0a
-91.1012313,40.7991663,1012,S 3RD STREET,,BURLINGTON,,,,232,3efe1678c45b3021
-91.1002666,40.8127445,614,N MAIN STREET,,BURLINGTON,,,,233,6d39e810bf98a1e5
